zip,est_mean_income,est_median_income
13224,88779,66463
13301,101424,103365
13302,58563,49205
13303,82112,73679
13304,92341,78382
13305,53499,38971
13308,81847,67156
13309,72247,60268
13310,65534,52273
13312,72449,70750
13313,61472,46438
13314,78223,60417
13315,73445,63854
13316,63922,51918
13317,64977,46346
13318,80415,71125
13319,50861,43750
13320,72630,61288
13321,49830,50617
13322,79958,70000
13323,93507,80827
13324,70395,59732
13325,62299,49464
13326,96077,66385
13327,66230,58220
13328,97127,93200
13329,56585,45741
13332,72338,54830
13334,59824,60368
13335,63466,53250
13337,97115,53125
13338,69660,56339
13339,63166,49283
13340,80653,63800
13342,73139,71250
13343,75624,60636
13345,71909,49500
13346,75071,49814
13348,83860,66589
13350,67221,55018
13354,85745,76607
13355,146163,62381
13357,67680,59894
13361,67588,57083
13363,89081,67216
13364,69785,68167
13365,77232,54682
13367,72978,56929
13368,58624,49268
13402,72493,62135
13403,99235,91457
13406,60367,49028
13407,65768,59722
13408,64939,50250
13409,63823,58500
13411,67787,54414
13413,107338,74975
13415,133150,91667
13416,69853,60375
13417,54739,41549
13420,82955,90179
13421,69639,53918
13424,79640,59358
13425,77752,53674
13428,63274,53851
13431,95366,76818
13433,53801,42083
13435,78275,70750
13436,61483,42813
13437,62949,61875
13438,76271,59358
13439,63575,49375
13440,68995,56796
13441,53321,47619
13450,76930,54750
13452,62559,50524
13454,70899,83625
13456,97438,77946
13459,75047,58438
13460,69518,50722
13461,79984,66466
13464,63143,47514
13468,66962,54167
13469,113073,90917
13470,64627,48750
13471,63295,53327
13473,82458,75386
13476,76979,62326
13477,126963,61250
13478,78604,64587
13480,70802,56616
13483,74551,82902
13485,62824,57083
13486,80984,70417
13488,89434,78281
13489,61900,54625
13490,88061,74982
13491,73412,54773
13492,86763,72256
13493,61200,54107
13494,73191,63571
13495,59160,51895
13501,62863,44426
13502,66207,48411
13601,66134,49569
13603,56831,50653
13605,67722,56550
13606,67790,63565
13607,153756,50583
13608,64766,55417
13612,75053,65833
13613,62575,45688
13614,50931,30757
13615,85628,85781
13616,67371,45625
13617,77640,67278
13618,70412,59922
13619,65771,54627
13620,62142,50344
13621,66056,65909
13622,79991,66382
13624,79686,71932
13625,68243,58214
13626,74687,61797
13628,64109,53750
13630,55705,29934
13633,58102,41250
13634,82816,66681
13635,63073,55167
13636,67438,50625
13637,70777,56323
13638,45739,39564
13640,78128,55208
13641,47585,63000
13642,57099,40813
13646,67473,53110
13648,63032,51300
13650,78748,70556
13651,103590,86250
13652,74558,54815
13654,66179,49338
13655,60083,41941
13656,69557,50667
13658,75497,65103
13659,60913,57000
13660,70119,59375
13661,83775,73155
13662,67199,52365
13664,77589,73472
13665,59112,55408
13666,53530,45500
13667,54459,41806
13668,87061,84107
13669,65992,53915
13670,50018,40000
13672,72237,61212
13673,72684,52267
13674,50151,44451
13676,69609,48834
13678,58812,42593
13679,80602,64727
13680,72746,55250
13681,61516,49479
13682,87515,80833
13684,55445,48000
13685,84722,77589
13687,66154,50703
13690,55373,43194
13691,68285,57772
13693,52637,47794
13694,75998,56563
13697,62659,43837
13730,73013,59495
13731,75956,65500
13732,93533,79955
13733,56999,49320
13734,60438,57180
13736,77807,58804
13739,71319,56250
13740,103977,61250
13743,80483,64767
13744,72178,63333
13746,72357,52727
13748,67920,54117
13750,73056,44375
13751,48057,44655
13752,77542,54844
13753,71980,56858
13754,57105,42000
13755,69915,62530
13756,66399,61667
13757,68178,63173
13760,74015,56814
13774,46552,57600
13775,74695,57941
13776,68818,62250
13777,81565,58854
13778,68260,59054
13780,64846,64271
13782,76192,59063
13783,57749,41932
13784,63517,61802
13786,49553,40485
13787,61615,52421
13788,80116,61250
13790,62607,47184
13794,36442,34688
13795,69117,47460
13796,67762,47384
13797,72697,61771
13801,72689,55820
13803,69647,61639
13804,57029,59318
13807,83247,64180
13808,104927,57039
13809,60311,48200
13810,96834,80500
13811,82126,69688
13812,79534,63984
13813,68925,70791
13815,68455,46991
13820,66426,54008
13825,65548,54464
13827,73754,58773
13830,63421,50647
13832,61217,49107
13833,62002,44922
13834,51296,73889
13835,64211,57946
13838,55239,44375
13839,61680,56467
13841,68385,43527
13842,86319,60729
13843,63536,56157
13844,65088,55000
13846,44718,27188
13849,57852,46944
13850,98944,64036
13856,53713,42386
13859,91532,85156
13861,64138,47277
13862,66933,50938
13863,60354,43250
13864,58492,42380
13865,63653,54673
13901,70471,46269
13903,71190,51152
13904,62620,51404
13905,65292,44466
14001,83663,64586
14004,79128,73431
14005,97857,81319
14006,70093,56017
14008,80683,61389
14009,75137,53348
14011,83889,67877
14012,72058,59109
14013,62747,58393
14020,66856,53634
14024,77561,63125
14025,90273,76220
14026,67380,58661
14028,80354,60030
14030,83272,76452
14031,120245,85655
14032,168114,126798
14033,83696,67438
14034,70973,64297
14035,75243,75813
14036,89396,79157
14037,76405,59650
14040,82613,66563
14042,60017,49295
14043,75773,63377
14047,80691,64444
14048,54626,38604
14051,133679,112580
14052,105868,85976
14054,70911,59375
14055,72454,50417
14057,93707,76813
14058,80435,70625
14059,116964,69747
14060,57031,37021
14061,64561,45000
14062,66296,55446
14063,76064,60011
14065,63232,59432
14066,62741,56250
14067,83294,80405
14068,135435,100029
14069,75885,71250
14070,63220,47571
14072,103643,90386
14075,89792,69974
14080,87763,59698
14081,58288,42625
14082,91032,62222
14085,103632,97181
14086,103198,82093
14091,91251,55724
14092,76580,57679
14094,76262,60823
14098,71373,56549
14101,64053,53750
14102,120443,117686
14103,66313,52768
14105,74388,65139
14108,77754,57908
14111,72812,61908
14113,67365,54602
14120,81336,69119
14125,70421,54080
14127,116534,89049
14129,72423,65417
14130,55406,57778
14131,93746,72896
14132,82549,78558
14134,76229,49896
14136,71658,60673
14138,70584,46720
14139,88185,76842
14141,77542,58042
14143,75734,67500
14145,87833,74028
14150,70564,58954
14167,76875,59958
14169,41733,50938
14170,112420,80617
14171,68396,63409
14172,75064,52857
14173,73589,88125
14174,97798,77348
14201,48266,29814
14202,88073,49776
14203,52882,39236
14204,39337,22989
14206,53769,40005
14207,48110,30187
14208,45159,33140
14209,55621,41062
14210,52233,43317
14211,43863,27429
14212,41972,24756
14213,58248,42050
14214,69483,51914
14215,50766,37436
14216,81205,58210
14217,73654,59133
14218,54700,41325
14219,65591,55585
14220,69065,61186
14221,113912,84676
14222,98445,70215
14223,82875,69023
14224,80279,68292
14225,64368,53307
14226,100785,71218
14227,66219,56206
14228,77708,57386
14301,44781,31244
14302,3208,"2,500-"
14303,54476,35254
14304,70162,56780
14305,58382,39107
14411,59502,45423
14414,84827,60341
14416,81253,72067
14418,58980,38969
14420,72724,56849
14422,74916,67892
14423,72574,58559
14424,94236,66487
14425,88231,66445
14427,60680,57695
14428,92739,78796
14432,80407,67156
14433,58976,50296
14435,118128,68188
14437,68855,55271
14441,48619,43750
14445,69192,57826
14450,109344,91747
14454,75343,47351
14456,70955,55617
14462,77438,73704
14464,77390,59756
14466,77912,79410
14467,80870,74253
14468,87505,78829
14469,76264,59698
14470,77176,58132
14471,71142,63068
14472,131400,109841
14475,108052,92708
14476,86177,69943
14477,87354,70417
14478,112314,90912
14479,57729,67708
14480,76567,75921
14481,77308,67583
14482,73223,61136
14485,77069,58932
14486,104767,69911
14487,84334,73780
14489,63932,53625
14502,84795,76808
14504,61457,53229
14505,71796,64538
14507,76114,59722
14510,63764,51897
14511,52342,56333
14512,76388,58169
14513,67288,51450
14514,87825,71795
14516,73524,64470
14517,61256,55380
14519,94231,76778
14521,72446,49464
14522,85635,62628
14525,78099,70938
14526,102591,83050
14527,72110,52961
14530,60068,53155
14532,69161,60000
14533,71329,57009
14534,164690,119961
14536,52411,44653
14537,47023,36316
14541,83283,67935
14542,54924,60714
14543,100292,100017
14544,63394,54138
14545,85708,93676
14546,78847,70258
14548,81840,66647
14549,51536,53150
14550,54913,50081
14551,68505,51449
14555,67132,54821
14559,96498,77280
14560,69603,61276
14561,75646,70436
14564,123218,94393
14568,94947,86098
14569,72615,58523
14571,75460,60417
14572,65319,52675
14580,100710,80495
14585,45371,47000
14586,96021,96053
14589,93725,71852
14590,62874,51531
14591,85563,66875
14604,78004,67800
14605,44375,23196
14606,60933,48812
14607,66633,48270
14608,44502,28599
14609,63098,49478
14610,106962,63981
14611,40014,26417
14612,83517,63901
14613,43124,31977
14615,59569,44678
14616,66028,53697
14617,89065,69981
14618,156076,105750
14619,65580,47657
14620,68378,51127
14621,41040,27582
14622,76660,57351
14623,62978,54245
14624,87191,75932
14625,101222,86463
14626,82050,72662
14701,54389,42558
14706,75185,60118
14707,63868,47321
14708,71551,76875
14709,73635,50515
14710,77211,58537
14711,64892,57800
14712,92480,63567
14714,80541,80313
14715,52142,41996
14716,47998,37250
14717,49157,38750
14718,63986,53885
14719,61862,51511
14720,46578,43929
14723,72145,65096
14724,72014,58594
14726,54697,44464
14727,67092,53264
14728,67416,56490
14729,70740,65156
14731,79089,62813
14732,52593,54327
14733,57329,49153
14735,56610,47750
14736,79507,53750
14737,60268,48316
14738,55391,49830
14739,50898,42292
14740,71294,58947
14741,72750,64327
14742,69819,63125
14743,53722,39558
14744,70983,69063
14747,78008,54545
14748,64715,27157
14750,93427,57841
14752,62696,38000
